Vertices,Density,Kruskal_Time,Prim_Time
50,0.1,3.695487976074219e-05,3.3855438232421875e-05
50,0.3,0.0001010894775390625,9.393692016601562e-05
50,0.5,0.00014710426330566406,7.295608520507812e-05
50,0.7,0.00021195411682128906,0.00010228157043457031
50,0.9,0.0002779960632324219,0.00012803077697753906
100,0.1,0.0001361370086669922,0.0001087188720703125
100,0.3,0.0003712177276611328,0.0002200603485107422
100,0.5,0.0005970001220703125,0.000308990478515625
100,0.7,0.0009138584136962891,0.00040602684020996094
100,0.9,0.001104116439819336,0.0006279945373535156
200,0.1,0.0005140304565429688,0.00030803680419921875
200,0.3,0.0015559196472167969,0.00090789794921875
200,0.5,0.0024881362915039062,0.0013308525085449219
200,0.7,0.0036270618438720703,0.0018310546875
200,0.9,0.004703044891357422,0.002254962921142578
300,0.1,0.0011968612670898438,0.0007979869842529297
300,0.3,0.003573894500732422,0.002081155776977539
300,0.5,0.005794048309326172,0.0029900074005126953
300,0.7,0.008552312850952148,0.0045588016510009766
300,0.9,0.01057291030883789,0.005097150802612305
400,0.1,0.002135038375854492,0.0015420913696289062
400,0.3,0.006395101547241211,0.0037398338317871094
400,0.5,0.010862112045288086,0.006065845489501953
400,0.7,0.015707731246948242,0.007939815521240234
400,0.9,0.021106958389282227,0.010153055191040039
500,0.1,0.003493070602416992,0.002363920211791992
500,0.3,0.012423992156982422,0.006505012512207031
500,0.5,0.018088817596435547,0.009444952011108398
500,0.7,0.0261538028717041,0.012809991836547852
500,0.9,0.033499717712402344,0.015898942947387695
